cust_id,signup_date,email,membership
C001,2022-01-01,user_1@GMAIL.com ,Bronze
C002,2022-01-02,user_2@GMAIL.com ,Gold
C003,2022-01-03,user_3@GMAIL.com ,Bronze
C004,2022-01-04,user_4@GMAIL.com ,Bronze
C005,2022-01-05,user_5@GMAIL.com ,Gold
C006,2022-01-06,user_6@GMAIL.com ,Gold
C007,2022-01-07,user_7@GMAIL.com ,Bronze
C008,2022-01-08,user_8@GMAIL.com ,Silver
C009,2022-01-09,user_9@GMAIL.com ,Bronze
C010,2022-01-10,user_10@GMAIL.com ,Bronze
C011,2022-01-11,user_11@GMAIL.com ,Bronze
C012,2022-01-12,user_12@GMAIL.com ,Bronze
C013,2022-01-13,user_13@GMAIL.com ,Gold
C014,2022-01-14,user_14@GMAIL.com ,Bronze
C015,2022-01-15,user_15@GMAIL.com ,Silver
C016,2022-01-16,user_16@GMAIL.com ,Gold
C017,2022-01-17,user_17@GMAIL.com ,Silver
C018,2022-01-18,user_18@GMAIL.com ,Silver
C019,2022-01-19,user_19@GMAIL.com ,Silver
C020,2022-01-20,user_20@GMAIL.com ,Silver
C021,2022-01-21,user_21@GMAIL.com ,Gold
C022,2022-01-22,user_22@GMAIL.com ,Gold
C023,2022-01-23,user_23@GMAIL.com ,Silver
C024,2022-01-24,user_24@GMAIL.com ,Silver
C025,2022-01-25,user_25@GMAIL.com ,Gold
C026,2022-01-26,user_26@GMAIL.com ,Gold
C027,2022-01-27,user_27@GMAIL.com ,Gold
C028,2022-01-28,user_28@GMAIL.com ,Bronze
C029,2022-01-29,user_29@GMAIL.com ,Bronze
C030,2022-01-30,user_30@GMAIL.com ,Bronze
C031,2022-01-31,user_31@GMAIL.com ,Silver
C032,2022-02-01,user_32@GMAIL.com ,Bronze
C033,2022-02-02,user_33@GMAIL.com ,Silver
C034,2022-02-03,user_34@GMAIL.com ,Silver
C035,2022-02-04,user_35@GMAIL.com ,Bronze
C036,2022-02-05,user_36@GMAIL.com ,Silver
C037,2022-02-06,user_37@GMAIL.com ,Bronze
C038,2022-02-07,user_38@GMAIL.com ,Bronze
C039,2022-02-08,user_39@GMAIL.com ,Gold
C040,2022-02-09,user_40@GMAIL.com ,Bronze
C041,2022-02-10,user_41@GMAIL.com ,Gold
C042,2022-02-11,user_42@GMAIL.com ,Bronze
C043,2022-02-12,user_43@GMAIL.com ,Bronze
C044,2022-02-13,user_44@GMAIL.com ,Gold
C045,2022-02-14,user_45@GMAIL.com ,Gold
C046,2022-02-15,user_46@GMAIL.com ,Bronze
C047,2022-02-16,user_47@GMAIL.com ,Silver
C048,2022-02-17,user_48@GMAIL.com ,Gold
C049,2022-02-18,user_49@GMAIL.com ,Silver
C050,2022-02-19,user_50@GMAIL.com ,Silver
C051,2022-02-20,user_51@GMAIL.com ,Silver
C052,2022-02-21,user_52@GMAIL.com ,Gold
C053,2022-02-22,user_53@GMAIL.com ,Silver
C054,2022-02-23,user_54@GMAIL.com ,Gold
C055,2022-02-24,user_55@GMAIL.com ,Silver
C056,2022-02-25,user_56@GMAIL.com ,Bronze
C057,2022-02-26,user_57@GMAIL.com ,Bronze
C058,2022-02-27,user_58@GMAIL.com ,Gold
C059,2022-02-28,user_59@GMAIL.com ,Bronze
C060,2022-03-01,user_60@GMAIL.com ,Bronze
C061,2022-03-02,user_61@GMAIL.com ,Silver
C062,2022-03-03,user_62@GMAIL.com ,Gold
C063,2022-03-04,user_63@GMAIL.com ,Silver
C064,2022-03-05,user_64@GMAIL.com ,Silver
C065,2022-03-06,user_65@GMAIL.com ,Silver
C066,2022-03-07,user_66@GMAIL.com ,Silver
C067,2022-03-08,user_67@GMAIL.com ,Silver
C068,2022-03-09,user_68@GMAIL.com ,Silver
C069,2022-03-10,user_69@GMAIL.com ,Silver
C070,2022-03-11,user_70@GMAIL.com ,Gold
C071,2022-03-12,user_71@GMAIL.com ,Bronze
C072,2022-03-13,user_72@GMAIL.com ,Silver
C073,2022-03-14,user_73@GMAIL.com ,Silver
C074,2022-03-15,user_74@GMAIL.com ,Silver
C075,2022-03-16,user_75@GMAIL.com ,Silver
C076,2022-03-17,user_76@GMAIL.com ,Silver
C077,2022-03-18,user_77@GMAIL.com ,Silver
C078,2022-03-19,user_78@GMAIL.com ,Bronze
C079,2022-03-20,user_79@GMAIL.com ,Bronze
C080,2022-03-21,user_80@GMAIL.com ,Silver
C081,2022-03-22,user_81@GMAIL.com ,Bronze
C082,2022-03-23,user_82@GMAIL.com ,Gold
C083,2022-03-24,user_83@GMAIL.com ,Silver
C084,2022-03-25,user_84@GMAIL.com ,Gold
C085,2022-03-26,user_85@GMAIL.com ,Gold
C086,2022-03-27,user_86@GMAIL.com ,Silver
C087,2022-03-28,user_87@GMAIL.com ,Bronze
C088,2022-03-29,user_88@GMAIL.com ,Gold
C089,2022-03-30,user_89@GMAIL.com ,Silver
C090,2022-03-31,user_90@GMAIL.com ,Gold
C091,2022-04-01,user_91@GMAIL.com ,Gold
C092,2022-04-02,user_92@GMAIL.com ,Gold
C093,2022-04-03,user_93@GMAIL.com ,Gold
C094,2022-04-04,user_94@GMAIL.com ,Bronze
C095,2022-04-05,user_95@GMAIL.com ,Gold
C096,2022-04-06,user_96@GMAIL.com ,Gold
C097,2022-04-07,user_97@GMAIL.com ,Gold
C098,2022-04-08,user_98@GMAIL.com ,Bronze
C099,2022-04-09,user_99@GMAIL.com ,Gold
C100,2022-04-10,user_100@GMAIL.com ,Gold
